album_name,genres
1989 (Taylor's Version) [Deluxe],['pop']
1989 (Taylor's Version),['pop']
Speak Now (Taylor's Version),['pop']
Midnights (The Til Dawn Edition),['pop']
Midnights (3am Edition),['pop']
Music for The Starling Girl (Score & Music from the Original Motion Picture),"['indie folk', 'stomp and holler']"
Long Lost (Deluxe Edition),"['indie folk', 'stomp and holler']"
Long Lost,"['indie folk', 'stomp and holler']"
Vide Noir,"['indie folk', 'stomp and holler']"
Strange Trails,"['indie folk', 'stomp and holler']"
TIM,"['dance pop', 'edm', 'pop', 'pop dance']"
Stories,"['dance pop', 'edm', 'pop', 'pop dance']"
True: Avicii By Avicii,"['dance pop', 'edm', 'pop', 'pop dance']"
The Days / Nights,"['dance pop', 'edm', 'pop', 'pop dance']"
True (Bonus Edition),"['dance pop', 'edm', 'pop', 'pop dance']"
Viva Las Vengeance,"['modern rock', 'pop']"
Pray for the Wicked,"['modern rock', 'pop']"
All My Friends We're Glorious: Death of a Bachelor Tour Live,"['modern rock', 'pop']"
Death of a Bachelor,"['modern rock', 'pop']"
"Too Weird to Live, Too Rare to Die!","['modern rock', 'pop']"
The Car,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Live at the Royal Albert Hall,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Tranquility Base Hotel & Casino,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
AM,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Suck It and See,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),['pop']
GUTS,['pop']
SOUR,['pop']
Canâ€™t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),['pop']
"The Rose Song [From ""High School Musical: The Musical: The Series (Season 2)""]",['pop']
You Have Got to Be Kidding Me,['chill dream pop']
"Small Songs, Vol.1",['chill dream pop']
Roadkill,['chill dream pop']
You Have Got to Be Kidding Me,['chill dream pop']
Trying to Be Nice,['chill dream pop']
Platinum,"['adult standards', 'easy listening', 'lounge']"
Watertown (Deluxe Edition / 2022 Mix),"['adult standards', 'easy listening', 'lounge']"
Reprise Rarities (Vol. 5),"['adult standards', 'easy listening', 'lounge']"
Reprise Rarities (Vol. 4),"['adult standards', 'easy listening', 'lounge']"
Reprise Rarities (Vol. 3),"['adult standards', 'easy listening', 'lounge']"
Cracker Island (Deluxe),"['alternative hip hop', 'modern rock', 'rock']"
Cracker Island,"['alternative hip hop', 'modern rock', 'rock']"
"Song Machine, Season One: Strange Timez (Deluxe)","['alternative hip hop', 'modern rock', 'rock']"
The Now Now,"['alternative hip hop', 'modern rock', 'rock']"
Humanz (Deluxe),"['alternative hip hop', 'modern rock', 'rock']"
Happier Than Ever,"['art pop', 'pop']"
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","['art pop', 'pop']"
"What Was I Made For? [From The Motion Picture ""Barbie""]","['art pop', 'pop']"
hotline (edit),"['art pop', 'pop']"
Guitar Songs,"['art pop', 'pop']"
Endless Summer Vacation,['pop']
ATTENTION: MILEY LIVE,['pop']
Plastic Hearts,['pop']
SHE IS COMING,['pop']
Younger Now,['pop']
Rare (Deluxe),"['pop', 'post-teen pop']"
Rare,"['pop', 'post-teen pop']"
Revival (Deluxe),"['pop', 'post-teen pop']"
Stars Dance (Bonus Track Version),"['pop', 'post-teen pop']"
Single Soon,"['pop', 'post-teen pop']"
Acoustic Sessions,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']"
It's Christmas Time,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']"
Original Me (The Album),"['eurodance', 'europop', 'german techno', 'melbourne bounce international']"
Perfect Day (Premium Edition),"['eurodance', 'europop', 'german techno', 'melbourne bounce international']"
Everytime We Touch (Premium Edition),"['eurodance', 'europop', 'german techno', 'melbourne bounce international']"
Sunshower,['boston indie']
(I Wanted) Summer With You,['boston indie']
Alright,['boston indie']
Saturday,['boston indie']
Autumn,['boston indie']
Schvitz,"['ann arbor indie', 'funk rock', 'instrumental funk']"
"The Joy of Music, The Job of Real Estate","['ann arbor indie', 'funk rock', 'instrumental funk']"
Live at Madison Square Garden,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Hill Climber,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Mr Finish Line,"['ann arbor indie', 'funk rock', 'instrumental funk']"
The Maybe Man,['pov: indie']
OK ORCHESTRA,['pov: indie']
The Click (Deluxe Edition),['pov: indie']
Neotheater,['pov: indie']
The Click,['pov: indie']
Pretty Vicious,"['glam rock', 'modern alternative rock']"
Strange Days,"['glam rock', 'modern alternative rock']"
YOUNG&DANGEROUS,"['glam rock', 'modern alternative rock']"
Everybody Wants,"['glam rock', 'modern alternative rock']"
Pretty Vicious,"['glam rock', 'modern alternative rock']"
Harvest Moon (Live at Echo Mountain),['indie soul']
Walk to Midnight,['indie soul']
Fade Into You,['indie soul']
West Side Highway,['indie soul']
Hours,['indie soul']
SMITHEREENS,['viral pop']
Nectar,['viral pop']
BALLADS 1,['viral pop']
In Tongues (Deluxe),['viral pop']
YUKON (INTERLUDE),['viral pop']
Future Nostalgia (The Moonlight Edition),"['dance pop', 'pop', 'uk pop']"
Club Future Nostalgia (DJ Mix),"['dance pop', 'pop', 'uk pop']"
Future Nostalgia,"['dance pop', 'pop', 'uk pop']"
Dua Lipa (Complete Edition),"['dance pop', 'pop', 'uk pop']"
Dua Lipa (Deluxe),"['dance pop', 'pop', 'uk pop']"
